seite;speerName;produkt;quelle;kartenname
620;Dr. Schmitz & Apelt;Industrieöfen (Glüh-, Härte-, Vergüte-, Schmiede- und Schmelzöfen sowie Ofen für die chem. Industrie, Glüh- und Härtekästen aus Eisen) für Rüstungsbetriebe;RWWA 22-349-6;Dr. Schmitz & Apelt
620;Otto Schnicks;"Munitions-Packgefäße; Werkzeugkästen u. Windenklötze für Panzer; Verpackungskisten";RWWA 22-349-6;Otto Schnicks
620;Schomburg & Graf;"Gummiformartikel f. LKW-Reifenersatzteile; für Bordnetzgeräte; für Reparaturmaterial";RWWA 22-349-6;Schomburg & Graf
620;Franz Schönberg;Barackenbau;;Franz Schönberg
620;Johann Wilhelm Schürmann;"Formpuder für Gießereien; dest. Wasser und Akkumulatorensäure (für Rüstungsindustrie, Wehrmacht, Off. Auftraggeber, Reichspost, Reichsbahn); Essigsaure Tonerde (Brandt-Programm); elektr. chem. Badesalze u. elektr. chem. Entfettungs- und Poliermittel; Feuerschutzmittel für Wehrmacht und Industrie; Rostschutzmittel f. d. Einlagerung hochwertiger Ersatzteile für Waffen und Geräte";RWWA 22-349-6;Joh. Wilh. Schürmann
620;Erich Schulte;schwere Flak 3,5 [Munition? Geschützteile?];RWWA 22-28-12;Erich Schulte
620;Schulze &. Wehrmann;"Beschilderungen von Feldküchen; Emaillierung von Schleißblechen für Kohlen-Wendel-Rutschanlagen (Bergbau); Zulieferungen für GeilenbergProgramm (Maschinen- und Kranschilder, Bedienungsvorschriften); emaillierte u. lackierte Signalartikel für die Deutscher Reichsbahn; Emaillierung von Wehrmachtsbacköfen (Horlebeck-Ofen), Backformen, Wasserstandsregulatorkästen und Pfannen";RWWA 22-349-6;
620;Peter Schumacher Otto Schumann;"DOV-Köpfe; Flügelschäfte für 8 cm Wgr. 34 Barackenbau";RWWA 22-28-10;Peter Schumacher
620;Siemens-Schuckertwerke AG, Niederlassung Wuppertal;Jägerstab (des Jäger-Programms) ;RWWA 22-28-12;
620;Siller & Jamart;Behälterbau für Geilenberg-Programm (Benzingewinnung durch Hydrierwerke).;;Siller & Jamart
620;Wilhelm Soennecken;Freiformschmiedestücke aus Eisen u. Stahl für verschiedene Flak- und Munitionsprogramme;RWWA 22-349-6;Wilhelm Soennecken
620;Ewald Speth;"Zuliefererung oder Weiterverarbeitung für Ford-Werke AG, Köln; Kupplungsteile für BMW-Motoren und Junkersmotoren (Flugmotoren); Getriebeteile für Panzerwagen; Getriebeteile für U-Boote";"Bf. d. Ford-Werke v. 24.8.2000; RWWA 22-349-6";Ewald Speth
620;Paul Spieker;Flugzeugausrüstung;RWWA 22-28-12;Paul Spieker
620;Stocko;MG-Zubehör, MG-Gurte, Panzermotorenteile, Flügelachse, Flügelschäfte, Teile für Zünderstellmaschine, Schuhösen, D-Gewindekörper Troisdorf, Aderendhülsen, Bombenzünderteile, Rohrnieten, Lötstifte, Lötösen, Kontaktstifte;RWWA 22-28-10 RWWA 22-349-6;Stocko
620;H. & W. Stoll;Axte, Beile, Rindenschäler für RM für Rüstung und Kriegsproduktion und Lieferfirmen für Fliegergeschädigte;RWWA 22-349-6;
620;Ernst Thielenhaus;"3,7 cm Sprenggranaten 18 ; Teile für Flugzeugmotoren; Wurfgranaten";RWWA 22-28-10;Ernst Thielenhaus
620;Tornax GmbH;Jägerprogramm;RWWA 22-28-12;Tornax GmbH
620;Trierer Walzwerk AG;"Werkstoffe für Infanterie-Rüstungsprogramm; Infanterie-Munition und Pistolen kaltgewalzter Bandstahl insbesond. Halbzeug für Munitionsprogramm";RWWA 22-28-10 RWWA 22-349-6;Trierer Walzwerk AG
621;Vorwerk & Co.;RE-1, Geschützgetriebe, Geschosse 10,5/ DOV u. a. m.;Battenfeld/Speer: Vorwerk & Co., S. 180-182;Vorwerk & Co.
